0,1,2,3,4
1,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/hoc-vien-quoc-te?keyword=AIS,Học viện quốc tế,AIS,TP HCM
2,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/hoc-vien-an-ninh-nhan-dan?keyword=ANH,Học viện An Ninh Nhân Dân,ANH,Hà Nội
3,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-an-ninh-nhan-dan?keyword=ANS,Đại học An Ninh Nhân Dân,ANS,Hà Nội
4,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-bach-khoa-ha-noi?keyword=BKA,Đại học Bách khoa Hà Nội,BKA,Hà Nội
5,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-buon-ma-thuot?keyword=BMU,Đại học Buôn Ma Thuột,BMU,Đắk Lắk
6,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/hoc-vien-bien-phong?keyword=BPH,Học viện Biên Phòng,BPH,Hà Nội
7,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/hoc-vien-cong-nghe-buu-chinh-vien-thong-phia-bac?keyword=BVH,Học viện Công nghệ Bưu chính Viễn thông (phía Bắc),BVH,Hà Nội
8,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/hoc-vien-cong-nghe-buu-chinh-vien-thong-phia-nam?keyword=BVS,Học viện Công nghệ Bưu chính Viễn thông (phía Nam),BVS,TP HCM
9,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-ba-ria-vung-tau?keyword=BVU,Đại học Bà Rịa Vũng Tàu,BVU,Bà Rịa - Vũng Tàu
10,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-cong-nghiep-det-may-ha-noi?keyword=CCM,Đại học Công Nghiệp Dệt May Hà Nội,CCM,Hà Nội
