0,1,2,3,4,5,6,7
AIS,1,Ngôn ngữ Anh,27.86,Đại học,D01,,2021
AIS,2,Ngôn ngữ Trung Quốc,27.08,Đại học,D04,,2021
AIS,3,Ngôn ngữ Trung Quốc,27.08,Đại học,D01,,2021
AIS,1,Ngôn ngữ Trung Quốc (Nữ),23.26,Đại học,D04,,2022
AIS,2,Ngôn ngữ Anh (Nữ),23.22,Đại học,D01,,2022
AIS,3,Ngôn ngữ Anh (Nữ),22.72,Đại học,A01,,2022
AIS,4,Ngôn ngữ Trung Quốc,22.55,Đại học,D01,,2022
AIS,5,Ngôn ngữ Anh (Nam),21.03,Đại học,A01,,2022
AIS,6,Ngôn ngữ Anh (Nam),20.50,Đại học,D01,,2022
AIS,7,Ngôn ngữ Trung Quốc (Nam),17.45,Đại học,D01,,2022
ANH,1,Nghiệp vụ An ninh (Địa bàn 1 - Nữ),29.99,Đại học,A01,,2021
ANH,2,Nghiệp vụ An ninh (Địa bàn 2 - Nữ),29.84,Đại học,A01,,2021
ANH,3,Ngành An toàn thông tin (Phía Bắc - Nữ),29.39,Đại học,A01,,2021
ANH,4,Nghiệp vụ An ninh (Địa bàn 2 - Nữ),29.30,Đại học,D01,,2021
ANH,5,Nghiệp vụ An ninh (Địa bàn 1 - Nữ),29.26,Đại học,D01,,2021
ANH,6,Nghiệp vụ An ninh (Địa bàn 2 - Nữ),28.69,Đại học,C03,,2021
ANH,7,Nghiệp vụ An ninh (Địa bàn 1 - Nữ),28.55,Đại học,C03,,2021
ANH,8,Nghiệp vụ An ninh (Địa bàn 3 - Nữ),28.41,Đại học,C03,,2021
ANH,9,Nghiệp vụ An ninh (Địa bàn 3 - Nữ),28.20,Đại học,D01,,2021
ANH,10,Nghiệp vụ An ninh (Địa bàn 3 - Nữ),28.16,Đại học,A01,,2021
ANH,11,Nghiệp vụ An ninh (Địa bàn 2 - Nữ),28.01,Đại học,A00,,2021
ANH,12,Nghiệp vụ An ninh (Địa bàn 1 - Nữ),27.81,Đại học,A00,,2021
ANH,13,Ngành An toàn thông tin (Phía Bắc - Nam),27.69,Đại học,A00,,2021
ANH,14,Nghiệp vụ An ninh (Địa bàn 1 - Nam),27.56,Đại học,D01,,2021
ANH,15,Ngành An toàn thông tin (Phía Bắc - Nữ),27.28,Đại học,A00,,2021
ANH,16,Nghiệp vụ An ninh (Địa bàn 1 - Nam),27.24,Đại học,A01,,2021
ANH,17,Nghiệp vụ An ninh (Địa bàn 3 - Nam),27.20,Đại học,C03,,2021
ANH,18,Nghiệp vụ An ninh (Địa bàn 2 - Nam),27.08,Đại học,C03,,2021
ANH,19,Ngành An toàn thông tin (Phía Nam - Nữ),26.80,Đại học,A01,,2021
ANH,20,Nghiệp vụ An ninh (Địa bàn 2 - Nam),26.73,Đại học,A01,,2021
ANH,1,Nghiệp vụ An ninh (Địa bàn 1 - Nữ),25.66,Đại học,A01,,2022
ANH,2,Nghiệp vụ An ninh (Địa bàn 3 - Nữ),25.30,Đại học,C03,,2022
ANH,3,Nghiệp vụ An ninh (Địa bàn 1 - Nữ),25.30,Đại học,D01,,2022
ANH,4,Nghiệp vụ An ninh (Địa bàn 3 - Nữ),24.94,Đại học,A01,,2022
